category,updated_at,building_name,room,address,rent_man,fee_man,layout,floor,area_sqm,age_years,structure,file,page,raw_block
orient_capital,2026/2/13,CLUB ORIENT No.71 TRUST TOWER,,北九州市小倉北区馬借2丁目6-11,,,"1K+メゾネット,1DK+メゾネット,1K,1DK",,,,HRC,"[source=orient_capital file=オリエントキャピタル株式会社（旧OI.CAPITAL株式会社）.pdf page=1]
No.71
CLUB ORIENT No.71 TRUST TOWER
(HRC33階、免震構造 テナント2戸 1K、1DK、 1K + メゾネッ
ト、1DK + メゾネット 全318戸)
北九州市小倉北区馬借2丁目6-11
PM会社
REVISION(株)
内見問合せ
info@f-rev.co
m",,
orient_capital,2026/2/13,ORIENT BLD No.65 CROSSING TOWER,,北九州市小倉北区黄金町1丁目2-15,,,"1K,2K,1LDK",,,,HRC,"[source=orient_capital file=オリエントキャピタル株式会社（旧OI.CAPITAL株式会社）.pdf page=1]
No.65
ORIENT BLD No.65 CROSSING TOWER
(HRC21階 1K、2K、1LDK 全235戸)
北九州市小倉北区黄金町1丁目2-15
PM会社
REVISION(株)
内見問合せ
info@f-rev.co
m",,
orient_capital,2026/2/13,ORIENT BLD No.63 ORIENT CAPITAL TOWER,,北九州市小倉北区船場町2-6,,,"1K,2K",,,,HRC,"[source=orient_capital file=オリエントキャピタル株式会社（旧OI.CAPITAL株式会社）.pdf page=1]
No.63
ORIENT BLD No.63 ORIENT CAPITAL TOWER
(HRC20階 商業ゾーン1階、SOHOゾーン2~5階、 レジデンス 6
~20階 1K、2K 全256戸(自走式タイムパーク155台))
北九州市小倉北区船場町2-6
PM会社
REVISION(株)
内見問合せ
info@f-rev.co
m",,
orient_capital,2026/2/13,ORIENT BLD No.58 ORIENT PARK,,北九州市小倉北区高尾1丁目26-6,,,,,,,,"[source=orient_capital file=オリエントキャピタル株式会社（旧OI.CAPITAL株式会社）.pdf page=1]
No.58
ORIENT BLD No.58 ORIENT PARK
北九州市小倉北区高尾1丁目26-6
PM会社
REVISION(株)
内見問合せ
info@f-rev.co
m",,
orient_capital,2026/2/13,ORIENT BLD No.50 A・priori 南小倉,,北九州市小倉北区高尾1丁目18-22,,,2K,,,,SRC,"[source=orient_capital file=オリエントキャピタル株式会社（旧OI.CAPITAL株式会社）.pdf page=1]
No.50
ORIENT BLD No.50 A・priori 南小倉
(SRC5階 2K 全18戸)
北九州市小倉北区高尾1丁目18-22
PM会社
REVISION(株)
内見問合せ
info@f-rev.co
m",,
orient_capital,2026/2/13,ORIENT BLD No.47 PROJECT2100 小倉駅,,北九州市小倉北区京町4丁目6-7,,,2K,,,,SRC,"[source=orient_capital file=オリエントキャピタル株式会社（旧OI.CAPITAL株式会社）.pdf page=1]
No.47
ORIENT BLD No.47 PROJECT2100 小倉駅
(SRC15階 2K 全168戸)
北九州市小倉北区京町4丁目6-7
PM会社
REVISION(株)
内見問合せ
info@f-rev.co
m",,
orient_capital,2026/2/13,ORIENT BLD No.35 SURFER’S-PROJECT2100 小倉駅,,北九州市小倉北区京町4丁目6-1,,,1K,,,,SRC,"[source=orient_capital file=オリエントキャピタル株式会社（旧OI.CAPITAL株式会社）.pdf page=1]
No.35
ORIENT BLD No.35 SURFER’S-PROJECT2100 小倉駅
(SRC14階 1K 全104戸)
北九州市小倉北区京町4丁目6-1
PM会社
REVISION(株)
内見問合せ
info@f-rev.co
m",,
orient_capital,2026/2/13,G-サイドアネックス,,北九州市戸畑区元宮町10-10,,,1K,,,,RC,"[source=orient_capital file=オリエントキャピタル株式会社（旧OI.CAPITAL株式会社）.pdf page=1]
No.27
G-サイドアネックス
(RC9階 1K 全39戸)
北九州市戸畑区元宮町10-10
PM会社
REVISION(株)
内見問合せ
info@f-rev.co
m
2026/02/13 3:57
物件のご紹介 | オリエントキャピタル株式会社(旧OI.CAPITAL株式会社)
https://www.orient-gr.co.jp/category/property/
1/3",,
orient_capital,2026/2/13,オリエントインターネット21,,北九州市小倉北区片野4丁目14-23,,,1K,,,,SRC,"[source=orient_capital file=オリエントキャピタル株式会社（旧OI.CAPITAL株式会社）.pdf page=2]
No.21
オリエントインターネット21
(SRC14階 テナント 全2戸 ・ 1K 全78戸(ペット可))
北九州市小倉北区片野4丁目14-23
PM会社
REVISION(株)
内見問合せ
info@f-rev.co
m",,
orient_capital,2026/2/13,ハーバービュー戸畑,,北九州市戸畑区幸町10-16,,,1K,,,,RC,"[source=orient_capital file=オリエントキャピタル株式会社（旧OI.CAPITAL株式会社）.pdf page=2]
No.20
ハーバービュー戸畑
(RC10階 1K 全36戸(ペット可))
北九州市戸畑区幸町10-16
PM会社
REVISION(株)
内見問合せ
info@f-rev.co
m",,
orient_capital,2026/2/13,プレジデント・バレー本城,,北九州市八幡西区本城3丁目13-16,,,1K,,,,RC,"[source=orient_capital file=オリエントキャピタル株式会社（旧OI.CAPITAL株式会社）.pdf page=2]
No.17
プレジデント・バレー本城
(RC3階 1K 全44戸)
北九州市八幡西区本城3丁目13-16
PM会社
REVISION(株)
内見問合せ
info@f-rev.co
m",,
orient_capital,2026/2/13,ラ・センチュリー小倉南,,北九州市小倉南区石田町2-56,,,1K,,,,RC,"[source=orient_capital file=オリエントキャピタル株式会社（旧OI.CAPITAL株式会社）.pdf page=2]
No.16
ラ・センチュリー小倉南
(RC4階 テナント 全4戸 ・ 1K 全39戸(ペット可))
北九州市小倉南区石田町2-56
PM会社
REVISION(株)
内見問合せ
info@f-rev.co
m",,
orient_capital,2026/2/13,ラ・ウィステリア小倉南,,北九州市小倉南区石田町3-6,,,1K,,,,RC,"[source=orient_capital file=オリエントキャピタル株式会社（旧OI.CAPITAL株式会社）.pdf page=2]
No.15
ラ・ウィステリア小倉南
(RC3階 1K 全25戸(ペット可))
北九州市小倉南区石田町3-6
PM会社
REVISION(株)
内見問合せ
info@f-rev.co
m",,
orient_capital,2026/2/13,ラ・ビクトリア苅田,,京都郡苅田町富久町2丁目24-2,,,1K,,,,RC,"[source=orient_capital file=オリエントキャピタル株式会社（旧OI.CAPITAL株式会社）.pdf page=2]
No.14
ラ・ビクトリア苅田
(RC6階 テナント 全3戸 ・ 1K 全40戸(ペット可))
京都郡苅田町富久町2丁目24-2
PM会社
REVISION(株)
内見問合せ
info@f-rev.co
m",,
orient_capital,2026/2/13,ラ・リージェンシー戸畑,,北九州市戸畑区幸町6-7,,,"1K,2LDK",,,,RC,"[source=orient_capital file=オリエントキャピタル株式会社（旧OI.CAPITAL株式会社）.pdf page=2]
No.13
ラ・リージェンシー戸畑
(RC7階 1K、2LDK 全26戸(ペット可))
北九州市戸畑区幸町6-7
PM会社
REVISION(株)
内見問合せ
info@f-rev.co
m",,
orient_capital,2026/2/13,ラフェスタ篠崎,,北九州市小倉北区篠崎3丁目13-3,,,1K,,,,RC,"[source=orient_capital file=オリエントキャピタル株式会社（旧OI.CAPITAL株式会社）.pdf page=2]
No.12
ラフェスタ篠崎
(RC2階 1K 全16戸(ペット可))
北九州市小倉北区篠崎3丁目13-3
PM会社
REVISION(株)
内見問合せ
info@f-rev.co
m",,
orient_capital,2026/2/13,ラフォーレ苅田,,京都郡苅田町神田町2丁目24-4,,,1K,,,,RC,"[source=orient_capital file=オリエントキャピタル株式会社（旧OI.CAPITAL株式会社）.pdf page=2]
No.11
ラフォーレ苅田
(RC2階 1K 全18戸(ペット可))
京都郡苅田町神田町2丁目24-4
PM会社
REVISION(株)
内見問合せ
info@f-rev.co
m
2026/02/13 3:57
物件のご紹介 | オリエントキャピタル株式会社(旧OI.CAPITAL株式会社)
https://www.orient-gr.co.jp/category/property/
2/3",,
orient_capital,2026/2/13,コンシェール戸畑,,北九州市戸畑区丸町3丁目7-6,,,1K,,,,木造,"[source=orient_capital file=オリエントキャピタル株式会社（旧OI.CAPITAL株式会社）.pdf page=3]
No.9
コンシェール戸畑
(木造サイディング張り 2階 ロフト付 1K 全14戸(ペット可))
北九州市戸畑区丸町3丁目7-6
PM会社
REVISION(株)
内見問合せ
info@f-rev.co
m",,
orient_capital,2026/2/13,No.8オリエント,,北九州市小倉北区弁天町13-12,,,SOHO,,,,鉄骨造,"[source=orient_capital file=オリエントキャピタル株式会社（旧OI.CAPITAL株式会社）.pdf page=3]
No.8
No.8オリエント
(鉄骨造 4階 SOHO 全3戸)
北九州市小倉北区弁天町13-12
PM会社
REVISION(株)
内見問合せ
info@f-rev.co
m",,
orient_capital,2026/2/13,アークヒルズ戸畑,,北九州市戸畑区丸町1丁目9-12,,,1K,,,,木造,"[source=orient_capital file=オリエントキャピタル株式会社（旧OI.CAPITAL株式会社）.pdf page=3]
No.7
アークヒルズ戸畑
(木造サイディング張り 2階 ロフト付 1K 全10戸(ペット可))
北九州市戸畑区丸町1丁目9-12
PM会社
REVISION(株)
内見問合せ
info@f-rev.co
m",,
orient_capital,2026/2/13,サンクレスト行橋,,北九州市小倉北区中井3丁目7-4,,,2DK,,,,木造,"[source=orient_capital file=オリエントキャピタル株式会社（旧OI.CAPITAL株式会社）.pdf page=3]
No.6
サンクレスト行橋
(木造モルタル 2階 2DK 全6戸)
北九州市小倉北区中井3丁目7-4
PM会社
REVISION(株)
内見問合せ
info@f-rev.co
m",,
